Date,Open,High,Low,Close,Volume,Market Cap,Year,Month
2016-11-19,751.83,756.24,744.47,751.62,110608000.0,12025400000.0,2016,11
2016-11-20,751.88,755.48,717.94,731.03,154116000.0,12027500000.0,2016,11
2016-11-21,731.26,741.72,730.51,739.25,60802400.0,11698900000.0,2016,11
2016-11-22,739.64,753.87,736.53,751.35,129906000.0,11834200000.0,2016,11
2016-11-23,751.74,752.25,738.92,744.59,76543800.0,12029000000.0,2016,11
2016-11-24,744.62,746.83,733.49,740.29,85919300.0,11916500000.0,2016,11
2016-11-25,740.44,741.65,734.59,741.65,67807600.0,11851100000.0,2016,11
2016-11-26,741.51,742.21,729.63,735.38,54962700.0,11869600000.0,2016,11
2016-11-27,735.44,739.02,731.09,732.03,52601800.0,11773800000.0,2016,11
2016-11-28,732.48,738.01,732.48,735.81,61888600.0,11727800000.0,2016,11
2016-11-29,736.33,737.47,734.56,735.6,68511100.0,11790900000.0,2016,11
2016-11-30,736.28,747.93,736.26,745.69,84070800.0,11791600000.0,2016,11
2016-12-01,746.05,758.27,746.05,756.77,80461900.0,11949200000.0,2016,12
2016-12-02,757.54,781.3,757.54,777.94,127605000.0,12134800000.0,2016,12
2016-12-03,778.25,778.25,764.86,771.15,69547300.0,12467800000.0,2016,12
